2018.11.03 16:50:17.260 | TRC | 0 | 0 | start log
2018.11.03 17:06:44.282 | TRC | 0 | 0 | start log
2018.11.03 17:06:57.253 | TRC | 0 | 0 | hide form
2018.11.03 17:07:15.619 | TRC | 0 | 0 | show Form
2018.11.03 17:07:27.190 | TRC | 0 | 0 | hide form
2018.11.03 17:07:58.043 | TRC | 0 | 0 | show Form
2018.11.03 17:17:58.889 | TRC | 0 | 0 | start log
2018.11.03 17:19:18.140 | TRC | 0 | 0 | start log
2018.11.03 17:19:39.566 | TRC | 0 | 0 | 學生通訊錄：btnSelect
2018.11.03 17:24:48.486 | TRC | 0 | 0 | start log
2018.11.03 17:25:08.603 | TRC | 0 | 0 | 學生通訊錄：btnSelect
2018.11.03 17:26:21.757 | TRC | 0 | 0 | start log
2018.11.03 17:26:21.867 | TRC | 0 | 0 | DatabaseCore：CommandFunctionDB：Select ClassID from Table_ClassSchedule
2018.11.03 17:26:22.120 | TRC | 0 | 0 | DatabaseCore：CommandFunctionDB：Select EmployeeID from EnglishClassDBtest.[dbo].[Table_EmployeeBasic]
2018.11.03 17:26:22.209 | TRC | 0 | 0 | DatabaseCore：CommandFunctionDB：Select EmployeeID from EnglishClassDBtest.[dbo].[Table_EmployeeBasic]
2018.11.03 17:26:22.234 | TRC | 0 | 0 | DatabaseCore：CommandFunctionDB：select * FROM [EnglishClassDBtest].[dbo].[Table_ClassSchedule]
2018.11.03 17:26:22.244 | TRC | 0 | 0 | DatabaseCore：CommandFunctionDB：DELETE FROM EnglishClassShift.[dbo].[Table_ClassShift_2018_12] WHERE [EnglishClassShift].[dbo].[Table_ClassShift_2018_12].EmployeeID='88' 
2018.11.03 17:26:22.264 | TRC | 0 | 0 | DatabaseCore：CommandFunctionDB：Insert into EnglishClassShift.[dbo].[Table_ClassShift_2018_12] Values(88,'6','休','6','6','休','6','6','6','休','6','6','休','6','6','6','休','6','6','休','6','6','6','休','6','6','休','6','6','6','休','6')
2018.11.03 17:26:22.312 | TRC | 0 | 0 | DatabaseCore：CommandFunctionDB：select * FROM [EnglishClassDBtest].[dbo].[Table_ClassSchedule]
2018.11.03 17:26:22.319 | TRC | 0 | 0 | DatabaseCore：CommandFunctionDB：DELETE FROM EnglishClassShift.[dbo].[Table_ClassShift_2018_12] WHERE [EnglishClassShift].[dbo].[Table_ClassShift_2018_12].EmployeeID='89' 
2018.11.03 17:26:22.326 | TRC | 0 | 0 | DatabaseCore：CommandFunctionDB：Insert into EnglishClassShift.[dbo].[Table_ClassShift_2018_12] Values(89,'3','休','3','3','休','3','3','3','休','3','3','休','3','3','3','休','3','3','休','3','3','3','休','3','3','休','3','3','3','休','3')
2018.11.03 17:26:22.351 | TRC | 0 | 0 | DatabaseCore：CommandFunctionDB：select * FROM [EnglishClassDBtest].[dbo].[Table_ClassSchedule]
2018.11.03 17:26:22.357 | TRC | 0 | 0 | DatabaseCore：CommandFunctionDB：DELETE FROM EnglishClassShift.[dbo].[Table_ClassShift_2018_12] WHERE [EnglishClassShift].[dbo].[Table_ClassShift_2018_12].EmployeeID='90' 
2018.11.03 17:26:22.366 | TRC | 0 | 0 | DatabaseCore：CommandFunctionDB：Insert into EnglishClassShift.[dbo].[Table_ClassShift_2018_12] Values(90,'3','休','3','3','休','3','3','3','休','3','3','休','3','3','3','休','3','3','休','3','3','3','休','3','3','休','3','3','3','休','3')
2018.11.03 17:26:22.389 | TRC | 0 | 0 | DatabaseCore：CommandFunctionDB：select * FROM [EnglishClassDBtest].[dbo].[Table_ClassSchedule]
2018.11.03 17:26:22.394 | TRC | 0 | 0 | DatabaseCore：CommandFunctionDB：DELETE FROM EnglishClassShift.[dbo].[Table_ClassShift_2018_12] WHERE [EnglishClassShift].[dbo].[Table_ClassShift_2018_12].EmployeeID='91' 
2018.11.03 17:26:22.400 | TRC | 0 | 0 | DatabaseCore：CommandFunctionDB：Insert into EnglishClassShift.[dbo].[Table_ClassShift_2018_12] Values(91,'3','休','3','3','休','3','3','3','休','3','3','休','3','3','3','休','3','3','休','3','3','3','休','3','3','休','3','3','3','休','3')
2018.11.03 17:26:22.424 | TRC | 0 | 0 | DatabaseCore：CommandFunctionDB：select * FROM [EnglishClassDBtest].[dbo].[Table_ClassSchedule]
